trial_id,fix,ques,answ,cor,nasa_ques,nasa_tre,calib_loop.thisRepN,calib_loop.thisTrialN,calib_loop.thisN,calib_loop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,nasa_trials.thisRepN,nasa_trials.thisTrialN,nasa_trials.thisN,nasa_trials.thisIndex,valid_keybrd.started,calib_resp.started,calib_resp.keys,calib_resp.rt,title_resp.keys,title_resp.rt,text.started,key_resp.keys,key_resp.rt,img_ques.started,key_resp_2.keys,key_resp_2.rt,key_resp_ans.keys,key_resp_ans.corr,key_resp_ans.rt,nasa_slider.response,end_img.started,key_resp_3.started,key_resp_3.keys,key_resp_3.rt,participant,gender,profession,session,date,expName,psychopyVersion,frameRate,
,,,,,,,0,0,0,0,,,,,,,,,53.82215510000242,78.38655549999385,['n'],[2.6541840999998385],,,,,,,,,,,,,,,,,P14,female,phd,001,2023-01-12_17h00.36.799,eth_ws_team_p04,2022.2.5,143.6785737869099,
,,,,,,,,,,,,,,,,,,,,,,,space,6.544859000001452,,,,,,,,,,,,,,,P14,female,phd,001,2023-01-12_17h00.36.799,eth_ws_team_p04,2022.2.5,143.6785737869099,
,,,,,,,,,,,,,,,,,,,,,,,,,87.60434340000211,space,14.289633300009882,,,,,,,,,,,,P14,female,phd,001,2023-01-12_17h00.36.799,eth_ws_team_p04,2022.2.5,143.6785737869099,
ts02,tsf02.jpeg,tsq02.jpeg,tsa02.jpeg,b,,,,,,,0,0,0,1,,,,,,,,,,,,,,102.9042616999941,space,12.131949899994652,c,0,7.58318080000754,,,,,,P14,female,phd,001,2023-01-12_17h00.36.799,eth_ws_team_p04,2022.2.5,143.6785737869099,
ts01,tsf01.jpeg,tsq01.jpeg,tsa01.jpeg,c,,,,,,,0,1,1,0,,,,,,,,,,,,,,124.1497847999999,space,5.849121999999625,c,1,9.625915299984626,,,,,,P14,female,phd,001,2023-01-12_17h00.36.799,eth_ws_team_p04,2022.2.5,143.6785737869099,
ts03,tsf03.jpeg,tsq03.jpeg,tsa03.jpeg,b,,,,,,,0,2,2,2,,,,,,,,,,,,,,141.1470868000033,space,6.056888799997978,b,1,4.574225999996997,,,,,,P14,female,phd,001,2023-01-12_17h00.36.799,eth_ws_team_p04,2022.2.5,143.6785737869099,
,,,,,::: PHYSICAL DEMAND :::,Was the task physically demanding?,,,,,,,,,0,0,0,1,,,,,,,,,,,,,,,,1.0,,,,,P14,female,phd,001,2023-01-12_17h00.36.799,eth_ws_team_p04,2022.2.5,143.6785737869099,
,,,,,::: PERFORMANCE :::,Were you successful in accomplishing what you were asked to do?,,,,,,,,,0,1,1,3,,,,,,,,,,,,,,,,14.0,,,,,P14,female,phd,001,2023-01-12_17h00.36.799,eth_ws_team_p04,2022.2.5,143.6785737869099,
,,,,,::: FRUSTRATION :::,"Were you insecure, discouraged, irritated, stressed, and annoyed?",,,,,,,,,0,2,2,5,,,,,,,,,,,,,,,,1.0,,,,,P14,female,phd,001,2023-01-12_17h00.36.799,eth_ws_team_p04,2022.2.5,143.6785737869099,
,,,,,::: EFFORT :::,Did you have to work hard to accomplish your level of performance?,,,,,,,,,0,3,3,4,,,,,,,,,,,,,,,,1.0,,,,,P14,female,phd,001,2023-01-12_17h00.36.799,eth_ws_team_p04,2022.2.5,143.6785737869099,
,,,,,::: MENTAL DEMAND :::,Was the task mentally demanding?,,,,,,,,,0,4,4,0,,,,,,,,,,,,,,,,1.0,,,,,P14,female,phd,001,2023-01-12_17h00.36.799,eth_ws_team_p04,2022.2.5,143.6785737869099,
,,,,,::: TEMPORAL DEMAND :::,Were you hurried or rushed to pace of the task?,,,,,,,,,0,5,5,2,,,,,,,,,,,,,,,,1.0,,,,,P14,female,phd,001,2023-01-12_17h00.36.799,eth_ws_team_p04,2022.2.5,143.6785737869099,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,181.71009209999465,181.71009209999465,space,1.9314266000001226,P14,female,phd,001,2023-01-12_17h00.36.799,eth_ws_team_p04,2022.2.5,143.6785737869099,
