trial_id,fix,ques,answ,cor,nasa_ques,nasa_tre,calib_loop.thisRepN,calib_loop.thisTrialN,calib_loop.thisN,calib_loop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,nasa_trials.thisRepN,nasa_trials.thisTrialN,nasa_trials.thisN,nasa_trials.thisIndex,valid_keybrd.started,calib_resp.started,calib_resp.keys,calib_resp.rt,title_resp.keys,title_resp.rt,text.started,key_resp.keys,key_resp.rt,img_ques.started,key_resp_2.keys,key_resp_2.rt,key_resp_ans.keys,key_resp_ans.corr,key_resp_ans.rt,nasa_slider.response,end_img.started,key_resp_3.started,end_img.stopped,key_resp_3.keys,key_resp_3.rt,participant,gender,profession,session,date,expName,psychopyVersion,frameRate,
,,,,,,,0,0,0,0,,,,,,,,,61.493638499989174,88.4069279999967,['n'],[4.84030160002294],,,,,,,,,,,,,,,,,,P01,male,professor,001,2023-01-12_15h46.28.272,eth_ws_team_p04,2022.2.5,143.9816394790871,
,,,,,,,,,,,,,,,,,,,,,,,space,3.138417700014543,,,,,,,,,,,,,,,,P01,male,professor,001,2023-01-12_15h46.28.272,eth_ws_team_p04,2022.2.5,143.9816394790871,
,,,,,,,,,,,,,,,,,,,,,,,,,96.40823389998695,space,9.342996200008201,,,,,,,,,,,,,P01,male,professor,001,2023-01-12_15h46.28.272,eth_ws_team_p04,2022.2.5,143.9816394790871,
ts01,tsf01.jpeg,tsq01.jpeg,tsa01.jpeg,c,,,,,,,0,0,0,0,,,,,,,,,,,,,,106.75840349998907,space,13.36757660000876,c,1,9.908331100014038,,,,,,,P01,male,professor,001,2023-01-12_15h46.28.272,eth_ws_team_p04,2022.2.5,143.9816394790871,
ts02,tsf02.jpeg,tsq02.jpeg,tsa02.jpeg,b,,,,,,,0,1,1,1,,,,,,,,,,,,,,131.55330749999848,space,6.39702380001836,c,0,3.1806952000042656,,,,,,,P01,male,professor,001,2023-01-12_15h46.28.272,eth_ws_team_p04,2022.2.5,143.9816394790871,
ts03,tsf03.jpeg,tsq03.jpeg,tsa03.jpeg,b,,,,,,,0,2,2,2,,,,,,,,,,,,,,142.64833249998628,space,4.1836795000126585,b,1,1.5923205000144662,,,,,,,P01,male,professor,001,2023-01-12_15h46.28.272,eth_ws_team_p04,2022.2.5,143.9816394790871,
,,,,,::: PHYSICAL DEMAND :::,Was the task physically demanding?,,,,,,,,,0,0,0,1,,,,,,,,,,,,,,,,2.0,,,,,,P01,male,professor,001,2023-01-12_15h46.28.272,eth_ws_team_p04,2022.2.5,143.9816394790871,
,,,,,::: EFFORT :::,Did you have to work hard to accomplish your level of performance?,,,,,,,,,0,1,1,4,,,,,,,,,,,,,,,,5.0,,,,,,P01,male,professor,001,2023-01-12_15h46.28.272,eth_ws_team_p04,2022.2.5,143.9816394790871,
,,,,,::: FRUSTRATION :::,"Were you insecure, discouraged, irritated, stressed, and annoyed?",,,,,,,,,0,2,2,5,,,,,,,,,,,,,,,,6.0,,,,,,P01,male,professor,001,2023-01-12_15h46.28.272,eth_ws_team_p04,2022.2.5,143.9816394790871,
,,,,,::: MENTAL DEMAND :::,Was the task mentally demanding?,,,,,,,,,0,3,3,0,,,,,,,,,,,,,,,,10.0,,,,,,P01,male,professor,001,2023-01-12_15h46.28.272,eth_ws_team_p04,2022.2.5,143.9816394790871,
,,,,,::: PERFORMANCE :::,Were you successful in accomplishing what you were asked to do?,,,,,,,,,0,4,4,3,,,,,,,,,,,,,,,,13.0,,,,,,P01,male,professor,001,2023-01-12_15h46.28.272,eth_ws_team_p04,2022.2.5,143.9816394790871,
,,,,,::: TEMPORAL DEMAND :::,Were you hurried or rushed to pace of the task?,,,,,,,,,0,5,5,2,,,,,,,,,,,,,,,,7.0,,,,,,P01,male,professor,001,2023-01-12_15h46.28.272,eth_ws_team_p04,2022.2.5,143.9816394790871,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174.55946059999405,174.55946059999405,179.56459909999103,space,6.005998400010867,P01,male,professor,001,2023-01-12_15h46.28.272,eth_ws_team_p04,2022.2.5,143.9816394790871,
