trial_id,fix,ques,answ,cor,nasa_ques,nasa_tre,calib_loop.thisRepN,calib_loop.thisTrialN,calib_loop.thisN,calib_loop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,nasa_trials.thisRepN,nasa_trials.thisTrialN,nasa_trials.thisN,nasa_trials.thisIndex,valid_keybrd.started,calib_resp.started,calib_resp.keys,calib_resp.rt,title_resp.keys,title_resp.rt,text.started,key_resp.keys,key_resp.rt,img_ques.started,key_resp_2.keys,key_resp_2.rt,key_resp_ans.keys,key_resp_ans.corr,key_resp_ans.rt,nasa_slider.response,end_img.started,key_resp_3.started,end_img.stopped,key_resp_3.keys,key_resp_3.rt,participant,gender,profession,session,date,expName,psychopyVersion,frameRate,
,,,,,,,0,0,0,0,,,,,,,,,60.74976660001266,91.0969022000063,['n'],[9.758705700005521],,,,,,,,,,,,,,,,,,P4,female,phd,001,2023-01-12_16h04.39.055,eth_ws_team_p04,2022.2.5,144.005898472869,
,,,,,,,,,,,,,,,,,,,,,,,space,13.351260499999626,,,,,,,,,,,,,,,,P4,female,phd,001,2023-01-12_16h04.39.055,eth_ws_team_p04,2022.2.5,144.005898472869,
,,,,,,,,,,,,,,,,,,,,,,,,,114.23341610000352,space,13.809777100002975,,,,,,,,,,,,,P4,female,phd,001,2023-01-12_16h04.39.055,eth_ws_team_p04,2022.2.5,144.005898472869,
ts01,tsf01.jpeg,tsq01.jpeg,tsa01.jpeg,c,,,,,,,0,0,0,0,,,,,,,,,,,,,,129.0535613000102,space,12.631416599993827,b,0,9.263581399995019,,,,,,,P4,female,phd,001,2023-01-12_16h04.39.055,eth_ws_team_p04,2022.2.5,144.005898472869,
ts03,tsf03.jpeg,tsq03.jpeg,tsa03.jpeg,b,,,,,,,0,1,1,2,,,,,,,,,,,,,,152.47192820000055,space,13.118853599997237,b,1,10.708818099999917,,,,,,,P4,female,phd,001,2023-01-12_16h04.39.055,eth_ws_team_p04,2022.2.5,144.005898472869,
ts02,tsf02.jpeg,tsq02.jpeg,tsa02.jpeg,b,,,,,,,0,2,2,1,,,,,,,,,,,,,,177.82550400000764,space,6.457274000000325,b,1,1.9650633999990532,,,,,,,P4,female,phd,001,2023-01-12_16h04.39.055,eth_ws_team_p04,2022.2.5,144.005898472869,
,,,,,::: EFFORT :::,Did you have to work hard to accomplish your level of performance?,,,,,,,,,0,0,0,4,,,,,,,,,,,,,,,,14.0,,,,,,P4,female,phd,001,2023-01-12_16h04.39.055,eth_ws_team_p04,2022.2.5,144.005898472869,
,,,,,::: PHYSICAL DEMAND :::,Was the task physically demanding?,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,5.0,,,,,,P4,female,phd,001,2023-01-12_16h04.39.055,eth_ws_team_p04,2022.2.5,144.005898472869,
,,,,,::: PERFORMANCE :::,Were you successful in accomplishing what you were asked to do?,,,,,,,,,0,2,2,3,,,,,,,,,,,,,,,,14.0,,,,,,P4,female,phd,001,2023-01-12_16h04.39.055,eth_ws_team_p04,2022.2.5,144.005898472869,
,,,,,::: FRUSTRATION :::,"Were you insecure, discouraged, irritated, stressed, and annoyed?",,,,,,,,,0,3,3,5,,,,,,,,,,,,,,,,14.0,,,,,,P4,female,phd,001,2023-01-12_16h04.39.055,eth_ws_team_p04,2022.2.5,144.005898472869,
,,,,,::: TEMPORAL DEMAND :::,Were you hurried or rushed to pace of the task?,,,,,,,,,0,4,4,2,,,,,,,,,,,,,,,,7.0,,,,,,P4,female,phd,001,2023-01-12_16h04.39.055,eth_ws_team_p04,2022.2.5,144.005898472869,
,,,,,::: MENTAL DEMAND :::,Was the task mentally demanding?,,,,,,,,,0,5,5,0,,,,,,,,,,,,,,,,11.0,,,,,,P4,female,phd,001,2023-01-12_16h04.39.055,eth_ws_team_p04,2022.2.5,144.005898472869,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,215.95320190000348,215.95320190000348,220.95392580000043,space,5.092291499997373,P4,female,phd,001,2023-01-12_16h04.39.055,eth_ws_team_p04,2022.2.5,144.005898472869,
