trial_id,fix,ques,answ,cor,nasa_ques,nasa_tre,calib_loop.thisRepN,calib_loop.thisTrialN,calib_loop.thisN,calib_loop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,nasa_trials.thisRepN,nasa_trials.thisTrialN,nasa_trials.thisN,nasa_trials.thisIndex,valid_keybrd.started,calib_resp.started,calib_resp.keys,calib_resp.rt,title_resp.keys,title_resp.rt,text.started,key_resp.keys,key_resp.rt,img_ques.started,key_resp_2.keys,key_resp_2.rt,key_resp_ans.keys,key_resp_ans.corr,key_resp_ans.rt,nasa_slider.response,end_img.started,key_resp_3.started,key_resp_3.keys,key_resp_3.rt,participant,gender,profession,session,date,expName,psychopyVersion,frameRate,
,,,,,,,0,0,0,0,,,,,,,,,94.11691240000073,124.49139999999898,['y'],[5.855931300015072],,,,,,,,,,,,,,,,,P5,female,Phd,001,2023-01-12_15h58.06.209,eth_ws_team_p04,2022.2.5,143.6212076635065,
,,,,,,,1,0,1,0,,,,,,,,,146.4835058000026,171.1419237000082,['y'],[4.12198989999888],,,,,,,,,,,,,,,,,P5,female,Phd,001,2023-01-12_15h58.06.209,eth_ws_team_p04,2022.2.5,143.6212076635065,
,,,,,,,2,0,2,0,,,,,,,,,193.66509280000173,218.2898836000095,['n'],[6.0009681999945315],,,,,,,,,,,,,,,,,P5,female,Phd,001,2023-01-12_15h58.06.209,eth_ws_team_p04,2022.2.5,143.6212076635065,
,,,,,,,,,,,,,,,,,,,,,,,space,8.242825799999991,,,,,,,,,,,,,,,P5,female,Phd,001,2023-01-12_15h58.06.209,eth_ws_team_p04,2022.2.5,143.6212076635065,
,,,,,,,,,,,,,,,,,,,,,,,,,232.55370479999692,space,10.68598569999449,,,,,,,,,,,,P5,female,Phd,001,2023-01-12_15h58.06.209,eth_ws_team_p04,2022.2.5,143.6212076635065,
ts01,tsf01.jpeg,tsq01.jpeg,tsa01.jpeg,c,,,,,,,0,0,0,0,,,,,,,,,,,,,,244.247065500007,space,21.628127499992843,c,1,2.5000835999962874,,,,,,P5,female,Phd,001,2023-01-12_15h58.06.209,eth_ws_team_p04,2022.2.5,143.6212076635065,
ts03,tsf03.jpeg,tsq03.jpeg,tsa03.jpeg,b,,,,,,,0,1,1,2,,,,,,,,,,,,,,269.8962393000111,space,5.733287800001563,b,1,5.53420080000069,,,,,,P5,female,Phd,001,2023-01-12_15h58.06.209,eth_ws_team_p04,2022.2.5,143.6212076635065,
ts02,tsf02.jpeg,tsq02.jpeg,tsa02.jpeg,b,,,,,,,0,2,2,1,,,,,,,,,,,,,,282.68723789999785,space,8.851632200006861,c,0,2.660824999999022,,,,,,P5,female,Phd,001,2023-01-12_15h58.06.209,eth_ws_team_p04,2022.2.5,143.6212076635065,
,,,,,::: EFFORT :::,Did you have to work hard to accomplish your level of performance?,,,,,,,,,0,0,0,4,,,,,,,,,,,,,,,,14.0,,,,,P5,female,Phd,001,2023-01-12_15h58.06.209,eth_ws_team_p04,2022.2.5,143.6212076635065,
,,,,,::: FRUSTRATION :::,"Were you insecure, discouraged, irritated, stressed, and annoyed?",,,,,,,,,0,1,1,5,,,,,,,,,,,,,,,,11.0,,,,,P5,female,Phd,001,2023-01-12_15h58.06.209,eth_ws_team_p04,2022.2.5,143.6212076635065,
,,,,,::: PERFORMANCE :::,Were you successful in accomplishing what you were asked to do?,,,,,,,,,0,2,2,3,,,,,,,,,,,,,,,,8.0,,,,,P5,female,Phd,001,2023-01-12_15h58.06.209,eth_ws_team_p04,2022.2.5,143.6212076635065,
,,,,,::: TEMPORAL DEMAND :::,Were you hurried or rushed to pace of the task?,,,,,,,,,0,3,3,2,,,,,,,,,,,,,,,,5.0,,,,,P5,female,Phd,001,2023-01-12_15h58.06.209,eth_ws_team_p04,2022.2.5,143.6212076635065,
,,,,,::: PHYSICAL DEMAND :::,Was the task physically demanding?,,,,,,,,,0,4,4,1,,,,,,,,,,,,,,,,5.0,,,,,P5,female,Phd,001,2023-01-12_15h58.06.209,eth_ws_team_p04,2022.2.5,143.6212076635065,
,,,,,::: MENTAL DEMAND :::,Was the task mentally demanding?,,,,,,,,,0,5,5,0,,,,,,,,,,,,,,,,13.0,,,,,P5,female,Phd,001,2023-01-12_15h58.06.209,eth_ws_team_p04,2022.2.5,143.6212076635065,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,323.0241524000012,323.0241524000012,space,2.5468888000032166,P5,female,Phd,001,2023-01-12_15h58.06.209,eth_ws_team_p04,2022.2.5,143.6212076635065,
