trial_id,fix,ques,answ,cor,nasa_ques,nasa_tre,calib_loop.thisRepN,calib_loop.thisTrialN,calib_loop.thisN,calib_loop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,nasa_trials.thisRepN,nasa_trials.thisTrialN,nasa_trials.thisN,nasa_trials.thisIndex,valid_keybrd.started,calib_resp.started,calib_resp.keys,calib_resp.rt,title_resp.keys,title_resp.rt,text.started,key_resp.keys,key_resp.rt,img_ques.started,key_resp_2.keys,key_resp_2.rt,key_resp_ans.keys,key_resp_ans.corr,key_resp_ans.rt,nasa_slider.response,end_img.started,key_resp_3.started,end_img.stopped,key_resp_3.keys,key_resp_3.rt,participant,gender,profession,session,date,expName,psychopyVersion,frameRate,
,,,,,,,0,0,0,0,,,,,,,,,61.809776300011436,86.64737770000647,['n'],[4.538184999997611],,,,,,,,,,,,,,,,,,P6,female,architect,001,2023-01-12_16h08.55.997,eth_ws_team_p04,2022.2.5,143.73991126914567,
,,,,,,,,,,,,,,,,,,,,,,,space,7.453904399997555,,,,,,,,,,,,,,,,P6,female,architect,001,2023-01-12_16h08.55.997,eth_ws_team_p04,2022.2.5,143.73991126914567,
,,,,,,,,,,,,,,,,,,,,,,,,,98.65948120001121,space,18.727596999990055,,,,,,,,,,,,,P6,female,architect,001,2023-01-12_16h08.55.997,eth_ws_team_p04,2022.2.5,143.73991126914567,
ts02,tsf02.jpeg,tsq02.jpeg,tsa02.jpeg,b,,,,,,,0,0,0,1,,,,,,,,,,,,,,118.39626560000761,space,24.328925900001195,b,1,13.56427099998109,,,,,,,P6,female,architect,001,2023-01-12_16h08.55.997,eth_ws_team_p04,2022.2.5,143.73991126914567,
ts03,tsf03.jpeg,tsq03.jpeg,tsa03.jpeg,b,,,,,,,0,1,1,2,,,,,,,,,,,,,,157.8086711000069,space,14.222763899990241,c,0,2.993647699986468,,,,,,,P6,female,architect,001,2023-01-12_16h08.55.997,eth_ws_team_p04,2022.2.5,143.73991126914567,
ts01,tsf01.jpeg,tsq01.jpeg,tsa01.jpeg,c,,,,,,,0,2,2,0,,,,,,,,,,,,,,176.5482122000103,space,13.551721099982387,a,0,5.27800269999716,,,,,,,P6,female,architect,001,2023-01-12_16h08.55.997,eth_ws_team_p04,2022.2.5,143.73991126914567,
,,,,,::: EFFORT :::,Did you have to work hard to accomplish your level of performance?,,,,,,,,,0,0,0,4,,,,,,,,,,,,,,,,2.0,,,,,,P6,female,architect,001,2023-01-12_16h08.55.997,eth_ws_team_p04,2022.2.5,143.73991126914567,
,,,,,::: PHYSICAL DEMAND :::,Was the task physically demanding?,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,2.0,,,,,,P6,female,architect,001,2023-01-12_16h08.55.997,eth_ws_team_p04,2022.2.5,143.73991126914567,
,,,,,::: PERFORMANCE :::,Were you successful in accomplishing what you were asked to do?,,,,,,,,,0,2,2,3,,,,,,,,,,,,,,,,12.0,,,,,,P6,female,architect,001,2023-01-12_16h08.55.997,eth_ws_team_p04,2022.2.5,143.73991126914567,
,,,,,::: MENTAL DEMAND :::,Was the task mentally demanding?,,,,,,,,,0,3,3,0,,,,,,,,,,,,,,,,2.0,,,,,,P6,female,architect,001,2023-01-12_16h08.55.997,eth_ws_team_p04,2022.2.5,143.73991126914567,
,,,,,::: FRUSTRATION :::,"Were you insecure, discouraged, irritated, stressed, and annoyed?",,,,,,,,,0,4,4,5,,,,,,,,,,,,,,,,1.0,,,,,,P6,female,architect,001,2023-01-12_16h08.55.997,eth_ws_team_p04,2022.2.5,143.73991126914567,
,,,,,::: TEMPORAL DEMAND :::,Were you hurried or rushed to pace of the task?,,,,,,,,,0,5,5,2,,,,,,,,,,,,,,,,1.0,,,,,,P6,female,architect,001,2023-01-12_16h08.55.997,eth_ws_team_p04,2022.2.5,143.73991126914567,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,234.7518587000086,234.7518587000086,239.75169410000672,space,11.375300499988953,P6,female,architect,001,2023-01-12_16h08.55.997,eth_ws_team_p04,2022.2.5,143.73991126914567,
