trial_id,fix,ques,answ,cor,nasa_ques,nasa_tre,calib_loop.thisRepN,calib_loop.thisTrialN,calib_loop.thisN,calib_loop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,nasa_trials.thisRepN,nasa_trials.thisTrialN,nasa_trials.thisN,nasa_trials.thisIndex,valid_keybrd.started,calib_resp.started,calib_resp.keys,calib_resp.rt,title_resp.keys,title_resp.rt,text.started,key_resp.keys,key_resp.rt,img_ques.started,key_resp_2.keys,key_resp_2.rt,key_resp_ans.keys,key_resp_ans.corr,key_resp_ans.rt,nasa_slider.response,end_img.started,key_resp_3.started,end_img.stopped,key_resp_3.keys,key_resp_3.rt,participant,gender,profession,session,date,expName,psychopyVersion,frameRate,
,,,,,,,0,0,0,0,,,,,,,,,49.31699089999893,72.01218930000323,['n'],[3.6828699999896344],,,,,,,,,,,,,,,,,,P11,male,phd,001,2023-01-12_16h46.01.781,eth_ws_team_p04,2022.2.5,143.99013954721215,
,,,,,,,,,,,,,,,,,,,,,,,space,8.662689100005082,,,,,,,,,,,,,,,,P11,male,phd,001,2023-01-12_16h46.01.781,eth_ws_team_p04,2022.2.5,143.99013954721215,
,,,,,,,,,,,,,,,,,,,,,,,,,84.38325689999328,space,13.480389399992418,,,,,,,,,,,,,P11,male,phd,001,2023-01-12_16h46.01.781,eth_ws_team_p04,2022.2.5,143.99013954721215,
ts02,tsf02.jpeg,tsq02.jpeg,tsa02.jpeg,b,,,,,,,0,0,0,1,,,,,,,,,,,,,,98.86597129999427,space,9.009839300008025,c,0,3.345724299986614,,,,,,,P11,male,phd,001,2023-01-12_16h46.01.781,eth_ws_team_p04,2022.2.5,143.99013954721215,
ts03,tsf03.jpeg,tsq03.jpeg,tsa03.jpeg,b,,,,,,,0,1,1,2,,,,,,,,,,,,,,112.73626550000336,space,3.1372947999916505,b,1,2.86894499999471,,,,,,,P11,male,phd,001,2023-01-12_16h46.01.781,eth_ws_team_p04,2022.2.5,143.99013954721215,
ts01,tsf01.jpeg,tsq01.jpeg,tsa01.jpeg,c,,,,,,,0,2,2,0,,,,,,,,,,,,,,120.26917390000017,space,2.010582600007183,b,0,5.772465900008683,,,,,,,P11,male,phd,001,2023-01-12_16h46.01.781,eth_ws_team_p04,2022.2.5,143.99013954721215,
,,,,,::: FRUSTRATION :::,"Were you insecure, discouraged, irritated, stressed, and annoyed?",,,,,,,,,0,0,0,5,,,,,,,,,,,,,,,,16.0,,,,,,P11,male,phd,001,2023-01-12_16h46.01.781,eth_ws_team_p04,2022.2.5,143.99013954721215,
,,,,,::: PHYSICAL DEMAND :::,Was the task physically demanding?,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,2.0,,,,,,P11,male,phd,001,2023-01-12_16h46.01.781,eth_ws_team_p04,2022.2.5,143.99013954721215,
,,,,,::: TEMPORAL DEMAND :::,Were you hurried or rushed to pace of the task?,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,6.0,,,,,,P11,male,phd,001,2023-01-12_16h46.01.781,eth_ws_team_p04,2022.2.5,143.99013954721215,
,,,,,::: MENTAL DEMAND :::,Was the task mentally demanding?,,,,,,,,,0,3,3,0,,,,,,,,,,,,,,,,12.0,,,,,,P11,male,phd,001,2023-01-12_16h46.01.781,eth_ws_team_p04,2022.2.5,143.99013954721215,
,,,,,::: PERFORMANCE :::,Were you successful in accomplishing what you were asked to do?,,,,,,,,,0,4,4,3,,,,,,,,,,,,,,,,16.0,,,,,,P11,male,phd,001,2023-01-12_16h46.01.781,eth_ws_team_p04,2022.2.5,143.99013954721215,
,,,,,::: EFFORT :::,Did you have to work hard to accomplish your level of performance?,,,,,,,,,0,5,5,4,,,,,,,,,,,,,,,,7.0,,,,,,P11,male,phd,001,2023-01-12_16h46.01.781,eth_ws_team_p04,2022.2.5,143.99013954721215,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,148.88258540000243,148.88258540000243,153.88240029998997,space,21.198128000003635,P11,male,phd,001,2023-01-12_16h46.01.781,eth_ws_team_p04,2022.2.5,143.99013954721215,
