trial_id,fix,ques,answ,cor,nasa_ques,nasa_tre,calib_loop.thisRepN,calib_loop.thisTrialN,calib_loop.thisN,calib_loop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,nasa_trials.thisRepN,nasa_trials.thisTrialN,nasa_trials.thisN,nasa_trials.thisIndex,valid_keybrd.started,calib_resp.started,calib_resp.keys,calib_resp.rt,title_resp.keys,title_resp.rt,text.started,key_resp.keys,key_resp.rt,img_ques.started,key_resp_2.keys,key_resp_2.rt,key_resp_ans.keys,key_resp_ans.corr,key_resp_ans.rt,nasa_slider.response,end_img.started,key_resp_3.started,key_resp_3.keys,key_resp_3.rt,participant,gender,profession,session,date,expName,psychopyVersion,frameRate,
,,,,,,,0,0,0,0,,,,,,,,,47.83956740000576,71.56191309999849,['n'],[1.8392540999921039],,,,,,,,,,,,,,,,,P02,male,Phd,001,2023-01-12_15h50.46.391,eth_ws_team_p04,2022.2.5,143.9787372157392,
,,,,,,,,,,,,,,,,,,,,,,,space,4.390698899995186,,,,,,,,,,,,,,,P02,male,Phd,001,2023-01-12_15h50.46.391,eth_ws_team_p04,2022.2.5,143.9787372157392,
,,,,,,,,,,,,,,,,,,,,,,,,,77.812628700005,space,12.419613999998546,,,,,,,,,,,,P02,male,Phd,001,2023-01-12_15h50.46.391,eth_ws_team_p04,2022.2.5,143.9787372157392,
ts01,tsf01.jpeg,tsq01.jpeg,tsa01.jpeg,c,,,,,,,0,0,0,0,,,,,,,,,,,,,,91.24192909999692,space,20.820189199992456,c,1,8.918026800005464,,,,,,P02,male,Phd,001,2023-01-12_15h50.46.391,eth_ws_team_p04,2022.2.5,143.9787372157392,
ts03,tsf03.jpeg,tsq03.jpeg,tsa03.jpeg,b,,,,,,,0,1,1,2,,,,,,,,,,,,,,122.50258099999337,space,4.986647700003232,b,1,5.416143299997202,,,,,,P02,male,Phd,001,2023-01-12_15h50.46.391,eth_ws_team_p04,2022.2.5,143.9787372157392,
ts02,tsf02.jpeg,tsq02.jpeg,tsa02.jpeg,b,,,,,,,0,2,2,1,,,,,,,,,,,,,,134.4246109999949,space,3.811164499988081,c,0,1.0773345999914454,,,,,,P02,male,Phd,001,2023-01-12_15h50.46.391,eth_ws_team_p04,2022.2.5,143.9787372157392,
,,,,,::: PERFORMANCE :::,Were you successful in accomplishing what you were asked to do?,,,,,,,,,0,0,0,3,,,,,,,,,,,,,,,,16.0,,,,,P02,male,Phd,001,2023-01-12_15h50.46.391,eth_ws_team_p04,2022.2.5,143.9787372157392,
,,,,,::: EFFORT :::,Did you have to work hard to accomplish your level of performance?,,,,,,,,,0,1,1,4,,,,,,,,,,,,,,,,5.0,,,,,P02,male,Phd,001,2023-01-12_15h50.46.391,eth_ws_team_p04,2022.2.5,143.9787372157392,
,,,,,::: TEMPORAL DEMAND :::,Were you hurried or rushed to pace of the task?,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,3.0,,,,,P02,male,Phd,001,2023-01-12_15h50.46.391,eth_ws_team_p04,2022.2.5,143.9787372157392,
,,,,,::: MENTAL DEMAND :::,Was the task mentally demanding?,,,,,,,,,0,3,3,0,,,,,,,,,,,,,,,,7.0,,,,,P02,male,Phd,001,2023-01-12_15h50.46.391,eth_ws_team_p04,2022.2.5,143.9787372157392,
,,,,,::: PHYSICAL DEMAND :::,Was the task physically demanding?,,,,,,,,,0,4,4,1,,,,,,,,,,,,,,,,1.0,,,,,P02,male,Phd,001,2023-01-12_15h50.46.391,eth_ws_team_p04,2022.2.5,143.9787372157392,
,,,,,::: FRUSTRATION :::,"Were you insecure, discouraged, irritated, stressed, and annoyed?",,,,,,,,,0,5,5,5,,,,,,,,,,,,,,,,1.0,,,,,P02,male,Phd,001,2023-01-12_15h50.46.391,eth_ws_team_p04,2022.2.5,143.9787372157392,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,162.38724830000137,162.38724830000137,space,1.2655106000020169,P02,male,Phd,001,2023-01-12_15h50.46.391,eth_ws_team_p04,2022.2.5,143.9787372157392,
